Axe_Desc_first_purchase,channel_recruitment,first_purchase_discounted,customers,avg_first_basket,avg_90d_value,avg_12m_value,avg_margin_12m,repeat_rate,high_value_rate,omnichannel_rate,median_days_to_second,discount_label,first_category_display,channel_display,cohort_label,estimated_value_pool,decision,commercial_play,why_it_matters,owner,kpi
SKINCARE|SKINCARE|SKINCARE,store,0,270,46.73211111111111,103.137,172.09425925925925,156.5792962962963,0.5074074074074074,0.08518518518518518,0.10740740740740741,50.0,Full Price,Mixed Basket (Skincare + 2 others),Store,Mixed Basket (Skincare + 2 others) / Store / Full Price,46465.45,Scale,Increase budget and replicate the first 30-day onboarding sequence on lookalikes.,"This cohort combines value, margin, and enough volume to matter.",Acquisition + CRM,12m value per recruited customer
FRAGRANCE|FRAGRANCE,store,0,180,188.89372222222224,190.50427777777776,239.19444444444446,217.8365,0.37777777777777777,0.1,0.027777777777777776,56.5,Full Price,Mixed Basket (Fragrance + 1 others),Store,Mixed Basket (Fragrance + 1 others) / Store / Full Price,43055.0,Scale,Increase budget and replicate the first 30-day onboarding sequence on lookalikes.,"This cohort combines value, margin, and enough volume to matter.",Acquisition + CRM,12m value per recruited customer
MAEK UP|MAKE UP,store,0,308,45.23191558441559,70.64665584415584,109.66285714285713,102.52100649350649,0.4318181818181818,0.03896103896103896,0.06818181818181818,45.0,Full Price,Mixed Basket (Make Up + 1 others),Store,Mixed Basket (Make Up + 1 others) / Store / Full Price,33776.159999999996,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAKE UP|MAEK UP,store,0,273,47.05439560439561,74.37582417582416,122.51692307692309,111.68340659340659,0.46886446886446886,0.047619047619047616,0.07326007326007326,55.0,Full Price,Mixed Basket (Make Up + 1 others),Store,Mixed Basket (Make Up + 1 others) / Store / Full Price,33447.12,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
OTHERS,store,0,338,54.88520710059172,72.86005917159764,94.91423076923077,126.06458579881658,0.2958579881656805,0.03550295857988166,0.038461538461538464,69.0,Full Price,Others,Store,Others / Store / Full Price,32081.01,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP,estore,0,223,34.362690582959644,80.48551569506726,128.2737668161435,116.06793721973095,0.4977578475336323,0.06726457399103139,0.22869955156950672,51.0,Full Price,Make Up,Estore,Make Up / Estore / Full Price,28605.050000000003,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE,estore,0,216,30.86851851851852,68.18962962962964,125.75412037037037,112.84925925925926,0.4675925925925926,0.06481481481481481,0.2175925925925926,57.0,Full Price,Skincare,Estore,Skincare / Estore / Full Price,27162.89,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
FRAGRANCE,estore,0,220,64.32631818181818,90.66572727272727,117.10504545454546,107.95040909090909,0.38636363636363635,0.02727272727272727,0.12272727272727273,45.0,Full Price,Fragrance,Estore,Fragrance / Estore / Full Price,25763.11,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
HAIRCARE,store,0,195,49.59733333333333,82.92984615384616,131.734,124.44589743589744,0.4461538461538462,0.05128205128205128,0.08717948717948718,62.0,Full Price,Haircare,Store,Haircare / Store / Full Price,25688.13,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE,store,1,241,39.55315352697095,72.77626556016598,101.94477178423236,84.93946058091286,0.38589211618257263,0.03734439834024896,0.05394190871369295,41.0,Discounted,Skincare,Store,Skincare / Store / Discounted,24568.69,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
OTHERS|FRAGRANCE,store,1,121,122.90487603305785,144.6604132231405,194.20752066115702,158.43347107438018,0.3305785123966942,0.049586776859504134,0.05785123966942149,37.5,Discounted,Mixed Basket (Others + 1 others),Store,Mixed Basket (Others + 1 others) / Store / Discounted,23499.11,Scale,Increase budget and replicate the first 30-day onboarding sequence on lookalikes.,"This cohort combines value, margin, and enough volume to matter.",Acquisition + CRM,12m value per recruited customer
MAKE UP,store,1,146,30.07808219178082,63.288082191780816,156.89472602739727,124.0477397260274,0.3424657534246575,0.0410958904109589,0.04794520547945205,31.5,Discounted,Make Up,Store,Make Up / Store / Discounted,22906.63,Scale,Increase budget and replicate the first 30-day onboarding sequence on lookalikes.,"This cohort combines value, margin, and enough volume to matter.",Acquisition + CRM,12m value per recruited customer
MAKE UP|MAKE UP,store,0,169,49.57224852071006,84.8573372781065,133.5739053254438,127.68532544378698,0.5029585798816568,0.08284023668639054,0.047337278106508875,55.0,Full Price,Mixed Basket (Make Up + 1 others),Store,Mixed Basket (Make Up + 1 others) / Store / Full Price,22573.99,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|FRAGRANCE,store,1,141,91.0891489361702,101.7709219858156,153.07503546099292,128.1459574468085,0.375886524822695,0.07092198581560284,0.02127659574468085,60.0,Discounted,Mixed Basket (Skincare + 1 others),Store,Mixed Basket (Skincare + 1 others) / Store / Discounted,21583.58,Scale,Increase budget and replicate the first 30-day onboarding sequence on lookalikes.,"This cohort combines value, margin, and enough volume to matter.",Acquisition + CRM,12m value per recruited customer
FRAGRANCE|FRAGRANCE,estore,1,108,161.86592592592592,154.25962962962964,199.73166666666668,144.76333333333335,0.37962962962962965,0.06481481481481481,0.21296296296296297,77.0,Discounted,Mixed Basket (Fragrance + 1 others),Estore,Mixed Basket (Fragrance + 1 others) / Estore / Discounted,21571.02,Scale,Increase budget and replicate the first 30-day onboarding sequence on lookalikes.,"This cohort combines value, margin, and enough volume to matter.",Acquisition + CRM,12m value per recruited customer
SKINCARE|MAEK UP,store,0,157,39.13063694267516,82.42535031847135,135.6187898089172,124.87407643312102,0.5159235668789809,0.05732484076433121,0.12101910828025478,41.0,Full Price,Mixed Basket (Skincare + 1 others),Store,Mixed Basket (Skincare + 1 others) / Store / Full Price,21292.15,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|SKINCARE,store,0,171,40.19415204678362,71.82204678362572,115.74760233918128,107.27023391812865,0.49707602339181284,0.04678362573099415,0.06432748538011696,47.0,Full Price,Mixed Basket (Make Up + 1 others),Store,Mixed Basket (Make Up + 1 others) / Store / Full Price,19792.84,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|SKINCARE,store,1,186,42.24263440860215,68.05408602150537,101.95064516129032,87.5366129032258,0.41397849462365593,0.03225806451612903,0.043010752688172046,68.0,Discounted,Mixed Basket (Skincare + 1 others),Store,Mixed Basket (Skincare + 1 others) / Store / Discounted,18962.82,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
FRAGRANCE|FRAGRANCE|FRAGRANCE,store,1,55,298.4385454545454,266.4283636363636,342.9303636363636,256.9249090909091,0.34545454545454546,0.09090909090909091,0.01818181818181818,32.0,Discounted,Mixed Basket (Fragrance + 2 others),Store,Mixed Basket (Fragrance + 2 others) / Store / Discounted,18861.17,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAKE UP,estore,0,150,34.00553333333333,77.76013333333334,122.84106666666666,109.8046,0.4666666666666667,0.05333333333333334,0.22,63.0,Full Price,Make Up,Estore,Make Up / Estore / Full Price,18426.16,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP,estore,1,128,36.710390625,71.633046875,140.244296875,119.190234375,0.515625,0.0625,0.21875,67.5,Discounted,Make Up,Estore,Make Up / Estore / Discounted,17951.27,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP,store,1,203,29.395714285714284,56.91832512315271,79.46295566502462,69.03118226600985,0.35960591133004927,0.024630541871921183,0.024630541871921183,38.0,Discounted,Make Up,Store,Make Up / Store / Discounted,16130.979999999998,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
SKINCARE|SKINCARE|SKINCARE|SKINCARE,store,0,109,56.297431192660554,90.53339449541284,138.89293577981653,133.41045871559632,0.48623853211009177,0.05504587155963303,0.05504587155963303,40.0,Full Price,Mixed Basket (Skincare + 3 others),Store,Mixed Basket (Skincare + 3 others) / Store / Full Price,15139.330000000002,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
OTHERS|FRAGRANCE|FRAGRANCE,store,1,53,210.72150943396227,236.88754716981134,282.4145283018868,209.10075471698113,0.39622641509433965,0.09433962264150944,0.03773584905660377,78.0,Discounted,Mixed Basket (Others + 2 others),Store,Mixed Basket (Others + 2 others) / Store / Discounted,14967.97,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|MAKE UP,store,0,111,41.905765765765764,81.22252252252252,124.32927927927928,113.45396396396396,0.5225225225225225,0.036036036036036036,0.07207207207207207,64.0,Full Price,Mixed Basket (Skincare + 1 others),Store,Mixed Basket (Skincare + 1 others) / Store / Full Price,13800.55,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAEK UP|MAEK UP,store,0,111,72.40234234234234,90.87117117117118,118.13810810810811,108.17504504504505,0.4594594594594595,0.036036036036036036,0.04504504504504504,52.0,Full Price,Mixed Basket (Make Up + 2 others),Store,Mixed Basket (Make Up + 2 others) / Store / Full Price,13113.33,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE,estore,1,131,44.70198473282443,70.28587786259543,98.42,82.04190839694657,0.32061068702290074,0.030534351145038167,0.16793893129770993,51.5,Discounted,Skincare,Estore,Skincare / Estore / Discounted,12893.02,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
MAEK UP|MAEK UP|MAKE UP,store,0,72,71.53694444444444,109.84402777777778,170.74541666666667,160.72930555555556,0.5833333333333334,0.1111111111111111,0.05555555555555555,40.0,Full Price,Mixed Basket (Make Up + 2 others),Store,Mixed Basket (Make Up + 2 others) / Store / Full Price,12293.67,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
FRAGRANCE|SKINCARE,store,0,73,96.23890410958903,110.49479452054794,166.48767123287672,144.93671232876713,0.3835616438356164,0.0547945205479452,0.0684931506849315,70.5,Full Price,Mixed Basket (Fragrance + 1 others),Store,Mixed Basket (Fragrance + 1 others) / Store / Full Price,12153.6,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP,estore,1,84,36.772261904761905,83.99190476190476,143.1304761904762,118.53369047619047,0.4166666666666667,0.07142857142857142,0.20238095238095238,56.0,Discounted,Make Up,Estore,Make Up / Estore / Discounted,12022.960000000001,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAKE UP|SKINCARE,store,0,89,39.709775280898874,70.2032584269663,128.63831460674157,118.47842696629213,0.42696629213483145,0.06741573033707865,0.10112359550561797,35.0,Full Price,Mixed Basket (Make Up + 1 others),Store,Mixed Basket (Make Up + 1 others) / Store / Full Price,11448.81,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|FRAGRANCE,store,0,86,91.3636046511628,95.95186046511628,132.97802325581395,123.38488372093023,0.36046511627906974,0.03488372093023256,0.023255813953488372,45.0,Full Price,Mixed Basket (Skincare + 1 others),Store,Mixed Basket (Skincare + 1 others) / Store / Full Price,11436.11,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
FRAGRANCE|FRAGRANCE|FRAGRANCE,store,0,30,321.64666666666665,278.62166666666667,367.58466666666664,339.50033333333334,0.3,0.06666666666666667,0.1,20.0,Full Price,Mixed Basket (Fragrance + 2 others),Store,Mixed Basket (Fragrance + 2 others) / Store / Full Price,11027.539999999999,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAKE UP|MAEK UP|MAEK UP,store,0,78,68.76935897435898,93.27576923076923,137.11833333333334,128.23346153846154,0.4358974358974359,0.0641025641025641,0.038461538461538464,39.5,Full Price,Mixed Basket (Make Up + 2 others),Store,Mixed Basket (Make Up + 2 others) / Store / Full Price,10695.23,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|SKINCARE,estore,0,93,39.97387096774194,70.97193548387096,110.83720430107527,105.05602150537634,0.3978494623655914,0.03225806451612903,0.20430107526881722,56.0,Full Price,Mixed Basket (Skincare + 1 others),Estore,Mixed Basket (Skincare + 1 others) / Estore / Full Price,10307.86,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
FRAGRANCE|SKINCARE,store,1,72,103.89930555555556,111.27041666666668,136.57833333333332,107.20083333333334,0.375,0.013888888888888888,0.06944444444444445,42.0,Discounted,Mixed Basket (Fragrance + 1 others),Store,Mixed Basket (Fragrance + 1 others) / Store / Discounted,9833.64,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
FRAGRANCE|MAEK UP,store,1,63,103.69746031746031,117.73539682539682,154.55968253968254,121.87142857142857,0.3333333333333333,0.06349206349206349,0.015873015873015872,24.0,Discounted,Mixed Basket (Fragrance + 1 others),Store,Mixed Basket (Fragrance + 1 others) / Store / Discounted,9737.26,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAKE UP|MAKE UP|MAEK UP,store,0,47,69.03595744680851,114.47893617021278,203.28744680851065,186.06276595744683,0.5319148936170213,0.0851063829787234,0.06382978723404255,43.0,Full Price,Mixed Basket (Make Up + 2 others),Store,Mixed Basket (Make Up + 2 others) / Store / Full Price,9554.51,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|FRAGRANCE,store,0,54,96.97537037037037,105.32981481481482,169.84,159.62648148148148,0.46296296296296297,0.07407407407407407,0.05555555555555555,35.0,Full Price,Mixed Basket (Make Up + 1 others),Store,Mixed Basket (Make Up + 1 others) / Store / Full Price,9171.36,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAKE UP|MAEK UP|MAKE UP,store,0,51,72.96254901960785,94.95039215686275,176.7427450980392,167.2729411764706,0.5098039215686274,0.058823529411764705,0.11764705882352941,39.0,Full Price,Mixed Basket (Make Up + 2 others),Store,Mixed Basket (Make Up + 2 others) / Store / Full Price,9013.88,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|MAKE UP,estore,0,30,48.07833333333333,128.41466666666668,299.18033333333335,267.146,0.6666666666666666,0.23333333333333334,0.23333333333333334,46.5,Full Price,Mixed Basket (Make Up + 1 others),Estore,Mixed Basket (Make Up + 1 others) / Estore / Full Price,8975.41,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|MAEK UP,store,1,83,32.54879518072289,57.524096385542165,105.52759036144579,96.66578313253012,0.4578313253012048,0.04819277108433735,0.08433734939759036,50.5,Discounted,Mixed Basket (Skincare + 1 others),Store,Mixed Basket (Skincare + 1 others) / Store / Discounted,8758.79,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE,store,0,65,72.50384615384615,103.10153846153847,130.95076923076923,123.698,0.4153846153846154,0.046153846153846156,0.06153846153846154,58.0,Full Price,Mixed Basket (Skincare + 4 others),Store,Mixed Basket (Skincare + 4 others) / Store / Full Price,8511.8,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|MAEK UP|MAEK UP,store,0,34,59.404411764705884,117.46705882352941,223.82117647058823,203.2129411764706,0.6176470588235294,0.14705882352941177,0.08823529411764706,33.0,Full Price,Mixed Basket (Skincare + 2 others),Store,Mixed Basket (Skincare + 2 others) / Store / Full Price,7609.92,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
HAIRCARE|HAIRCARE,store,0,50,80.1568,100.3536,150.637,141.2336,0.32,0.06,0.04,27.5,Full Price,Mixed Basket (Haircare + 1 others),Store,Mixed Basket (Haircare + 1 others) / Store / Full Price,7531.85,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|SKINCARE|MAEK UP,store,0,41,52.74804878048781,98.13829268292683,180.95097560975609,169.52975609756098,0.4878048780487805,0.0975609756097561,0.14634146341463414,50.0,Full Price,Mixed Basket (Skincare + 2 others),Store,Mixed Basket (Skincare + 2 others) / Store / Full Price,7418.99,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE,store,1,18,486.5666666666667,385.5,411.11055555555555,349.4577777777778,0.16666666666666666,0.1111111111111111,0.0,165.0,Discounted,Mixed Basket (Fragrance + 3 others),Store,Mixed Basket (Fragrance + 3 others) / Store / Discounted,7399.99,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|SKINCARE|SKINCARE,store,1,78,39.01307692307692,61.4648717948718,93.9398717948718,87.11358974358974,0.46153846153846156,0.01282051282051282,0.07692307692307693,100.5,Discounted,Mixed Basket (Skincare + 2 others),Store,Mixed Basket (Skincare + 2 others) / Store / Discounted,7327.310000000001,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
FRAGRANCE|MAEK UP,store,0,40,107.18375,131.04475,183.03325,166.89425,0.375,0.05,0.075,53.0,Full Price,Mixed Basket (Fragrance + 1 others),Store,Mixed Basket (Fragrance + 1 others) / Store / Full Price,7321.33,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|SKINCARE|SKINCARE|SKINCARE,store,1,63,52.55444444444444,72.35746031746032,107.0952380952381,89.24619047619048,0.3968253968253968,0.047619047619047616,0.06349206349206349,53.0,Discounted,Mixed Basket (Skincare + 3 others),Store,Mixed Basket (Skincare + 3 others) / Store / Discounted,6747.0,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
SKINCARE|MAKE UP,store,1,56,30.463214285714287,64.98625,114.63607142857143,104.99910714285714,0.39285714285714285,0.05357142857142857,0.05357142857142857,36.5,Discounted,Mixed Basket (Skincare + 1 others),Store,Mixed Basket (Skincare + 1 others) / Store / Discounted,6419.62,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
MAEK UP|MAKE UP|MAEK UP,store,0,55,69.53963636363636,82.65799999999999,115.238,108.64563636363637,0.34545454545454546,0.03636363636363636,0.14545454545454545,32.0,Full Price,Mixed Basket (Make Up + 2 others),Store,Mixed Basket (Make Up + 2 others) / Store / Full Price,6338.09,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|FRAGRANCE,store,1,43,106.21395348837208,120.99511627906976,142.70976744186046,115.1527906976744,0.2558139534883721,0.046511627906976744,0.023255813953488372,24.0,Discounted,Mixed Basket (Make Up + 1 others),Store,Mixed Basket (Make Up + 1 others) / Store / Discounted,6136.5199999999995,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
FRAGRANCE|MAKE UP,store,0,43,109.70418604651162,105.1313953488372,142.27511627906978,128.2932558139535,0.46511627906976744,0.046511627906976744,0.09302325581395349,68.0,Full Price,Mixed Basket (Fragrance + 1 others),Store,Mixed Basket (Fragrance + 1 others) / Store / Full Price,6117.830000000001,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAEK UP,store,1,61,42.75836065573771,69.29754098360655,96.56393442622951,81.25557377049181,0.36065573770491804,0.03278688524590164,0.09836065573770492,53.5,Discounted,Mixed Basket (Make Up + 1 others),Store,Mixed Basket (Make Up + 1 others) / Store / Discounted,5890.4,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
MAKE UP|MAKE UP|MAKE UP,store,0,32,72.8009375,115.4915625,182.836875,155.39531250000002,0.25,0.09375,0.09375,62.0,Full Price,Mixed Basket (Make Up + 2 others),Store,Mixed Basket (Make Up + 2 others) / Store / Full Price,5850.78,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
